Member_number,Date,products,Ratings
4651,21-06-2015,photo/film,3
4243,2/4/2015,sausage,2
4429,21-07-2015,grapes,2
4645,25-07-2015,domestic eggs,3
4019,24-07-2015,rolls/buns,3
4459,26-04-2015,tropical fruit,4
3006,27-12-2015,chicken,4
1834,17-09-2015,frankfurter,5
3236,4/7/2015,berries,5
1765,11/3/2015,margarine,3
3855,9/3/2015,tropical fruit,4
4392,28-11-2015,ham,1
3330,26-07-2015,hamburger meat,2
1723,2/9/2015,yogurt,1
4110,30-03-2015,soda,5
2600,28-01-2015,yogurt,1
2946,7/10/2015,soda,5
2426,8/9/2015,bottled water,4
4170,3/5/2015,sausage,2
1109,6/4/2015,citrus fruit,4
3429,4/1/2015,shopping bags,3
2055,4/2/2015,newspapers,1
2480,20-09-2015,frankfurter,5
2441,30-05-2015,sausage,2
1054,4/10/2015,frankfurter,5
4818,11/1/2015,salt,5
3379,21-01-2015,oil,3
3939,10/2/2015,curd,2
1367,5/8/2015,other vegetables,4
1043,10/1/2015,citrus fruit,4
2231,17-10-2015,frankfurter,5
3235,28-12-2015,root vegetables,5
4554,16-07-2015,tropical fruit,4
3245,24-01-2015,beef,3
2996,19-05-2015,berries,5
2507,5/1/2015,canned beer,4
4186,25-10-2015,whipped/sour cream,4
3929,28-04-2015,root vegetables,5
3760,22-11-2015,whole milk,2
4928,18-08-2015,beef,3
4217,18-12-2015,frozen vegetables,4
1174,11/2/2015,rolls/buns,3
4103,19-06-2015,whole milk,2
4408,13-03-2015,whole milk,2
2588,28-12-2015,citrus fruit,4
2598,11/11/2015,pastry,2
1518,11/12/2015,frankfurter,5
2702,8/4/2015,tropical fruit,4
1001,20-01-2015,frankfurter,5
2270,30-09-2015,berries,5
2838,10/11/2015,rolls/buns,3
1683,26-05-2015,root vegetables,5
4040,3/4/2015,yogurt,1
3897,23-08-2015,other vegetables,4
2200,11/3/2015,berries,5
4073,29-01-2015,berries,5
3700,19-04-2015,other vegetables,4
3973,10/6/2015,rolls/buns,3
2715,6/7/2015,ham,1
3967,23-11-2015,whole milk,2
4002,3/9/2015,tropical fruit,4
2962,1/3/2015,bottled water,4
4340,25-12-2015,butter milk,5
2092,6/11/2015,newspapers,1
3143,24-05-2015,coffee,3
2209,3/10/2015,bottled beer,3
2816,22-08-2015,onions,1
2659,1/6/2015,hamburger meat,2
1588,13-10-2015,sausage,2
1144,15-10-2015,hard cheese,2
2166,10/12/2015,sausage,2
3300,6/10/2015,hamburger meat,2
3944,3/1/2015,onions,1
4979,24-04-2015,coffee,3
2630,21-01-2015,shopping bags,3
4240,29-04-2015,yogurt,1
2357,8/7/2015,soda,5
1743,18-04-2015,sliced cheese,1
2331,15-02-2015,sausage,2
1643,28-04-2015,yogurt,1
1291,20-03-2015,domestic eggs,3
3675,4/7/2015,whole milk,2
4134,6/11/2015,meat,4
1363,21-06-2015,dish cleaner,1
4212,1/5/2015,other vegetables,4
1500,21-03-2015,whole milk,2
2622,1/10/2015,other vegetables,4
3543,18-03-2015,tropical fruit,4
2525,24-05-2015,baking powder,3
1264,12/10/2015,specialty bar,5
3601,6/7/2015,ice cream,3
1771,23-03-2015,frankfurter,5
4694,6/2/2015,canned beer,4
1122,21-12-2015,bottled water,4
3507,12/8/2015,other vegetables,4
4524,26-04-2015,citrus fruit,4
3612,27-09-2015,sausage,2
3262,11/6/2015,domestic eggs,3
1897,25-01-2015,pork,1
1656,30-10-2015,specialty cheese,4
3953,10/1/2015,pork,1
1488,21-06-2015,beef,3
1652,17-03-2015,other vegetables,4
4953,16-09-2015,chicken,4
3445,30-04-2015,soda,5
3180,15-03-2015,whole milk,2
4934,6/9/2015,rolls/buns,3
2980,27-04-2015,bottled beer,3
2763,13-02-2015,root vegetables,5
4819,4/3/2015,pastry,2
3169,2/7/2015,berries,5
1850,11/3/2015,citrus fruit,4
4285,29-12-2015,whole milk,2
4366,13-08-2015,soda,5
2253,16-06-2015,bottled water,4
3398,11/3/2015,tropical fruit,4
2215,22-07-2015,salty snack,1
3737,3/3/2015,bottled water,4
2649,28-11-2015,chocolate,5
3203,7/8/2015,citrus fruit,4
4261,16-02-2015,bottled water,4
2435,17-07-2015,onions,1
2046,21-08-2015,dessert,2
4267,11/2/2015,beef,3
1086,28-12-2015,rolls/buns,3
1992,4/1/2015,beef,3
3622,26-07-2015,soda,5
4700,27-06-2015,coffee,3
2272,16-05-2015,rolls/buns,3
1663,19-05-2015,pork,1
2519,3/6/2015,soda,5
2639,30-10-2015,sausage,2
1466,19-04-2015,beef,3
4122,23-10-2015,whole milk,2
3598,15-04-2015,pork,1
3097,10/8/2015,berries,5
1873,19-09-2015,sausage,2
1537,1/2/2015,bottled water,4
3960,25-03-2015,tropical fruit,4
1136,15-06-2015,herbs,5
2453,21-12-2015,yogurt,1
1746,15-02-2015,Instant food products,3
3572,9/6/2015,specialty chocolate,5
3246,24-06-2015,coffee,3
3207,26-11-2015,bottled beer,3
1042,12/2/2015,beef,3
1176,30-03-2015,whole milk,2
3054,23-02-2015,frankfurter,5
4486,2/12/2015,frankfurter,5
1580,5/12/2015,other vegetables,4
1623,2/11/2015,frankfurter,5
4169,24-11-2015,whole milk,2
2254,24-01-2015,frankfurter,5
4095,1/11/2015,other vegetables,4
1264,17-11-2015,bottled water,4
3375,6/1/2015,pork,1
3242,23-05-2015,bottled water,4
2227,7/6/2015,other vegetables,4
3847,3/12/2015,hamburger meat,2
3897,31-05-2015,hamburger meat,2
1799,27-09-2015,shopping bags,3
2920,26-04-2015,whole milk,2
3713,31-01-2015,ice cream,3
4230,5/11/2015,pastry,2
1455,18-03-2015,ham,1
3687,18-03-2015,frankfurter,5
3869,1/8/2015,sausage,2
2988,14-10-2015,bottled beer,3
4242,30-03-2015,bottled water,4
4118,24-12-2015,meat,4
4996,24-10-2015,dessert,2
4489,4/3/2015,other vegetables,4
1199,9/11/2015,beverages,2
4108,12/5/2015,ham,1
3484,5/6/2015,specialty bar,5
1239,31-08-2015,brown bread,4
4839,19-12-2015,whole milk,2
4748,7/5/2015,rolls/buns,3
4426,6/6/2015,bottled beer,3
3571,11/12/2015,pet care,2
2852,8/6/2015,citrus fruit,4
3638,26-05-2015,pork,1
3635,10/3/2015,other vegetables,4
2723,7/5/2015,white wine,4
3495,11/3/2015,whole milk,2
2813,16-11-2015,pip fruit,1
2799,2/9/2015,sugar,2
4723,22-05-2015,tropical fruit,4
3313,8/4/2015,root vegetables,5
4748,15-12-2015,soda,5
2991,16-02-2015,whole milk,2
1483,1/4/2015,tropical fruit,4
3950,1/10/2015,white bread,5
1634,16-01-2015,brown bread,4
2694,21-11-2015,tropical fruit,4
2707,18-10-2015,domestic eggs,3
2813,16-07-2015,coffee,3
2276,11/1/2015,soda,5
4726,6/2/2015,whole milk,2
4353,25-05-2015,bottled beer,3
4017,13-08-2015,pork,1
1422,21-08-2015,other vegetables,4
2714,15-03-2015,yogurt,1
2769,21-07-2015,sparkling wine,2
4166,30-04-2015,bottled water,4
3614,2/3/2015,citrus fruit,4
4361,5/9/2015,hamburger meat,2
1922,22-09-2015,packaged fruit/vegetables,1
4728,6/9/2015,other vegetables,4
3646,8/8/2015,soda,5
1155,10/8/2015,whole milk,2
2119,11/6/2015,herbs,5
1602,29-08-2015,citrus fruit,4
1074,24-06-2015,misc. beverages,5
2256,11/4/2015,female sanitary products,1
1348,17-09-2015,soda,5
3806,28-08-2015,tropical fruit,4
1711,6/6/2015,soda,5
3959,12/4/2015,white bread,5
1590,15-08-2015,coffee,3
1962,8/6/2015,tropical fruit,4
1766,21-01-2015,pork,1
2551,21-10-2015,citrus fruit,4
2294,23-09-2015,frankfurter,5
4531,29-05-2015,frankfurter,5
2957,12/4/2015,frankfurter,5
4415,27-01-2015,other vegetables,4
1476,26-08-2015,yogurt,1
3978,23-07-2015,sausage,2
2062,22-09-2015,whole milk,2
3252,28-06-2015,pip fruit,1
3922,24-06-2015,whole milk,2
1491,17-10-2015,root vegetables,5
3526,26-08-2015,onions,1
4060,11/12/2015,specialty chocolate,5
1067,8/4/2015,hamburger meat,2
2840,27-01-2015,photo/film,3
4484,27-11-2015,rolls/buns,3
2353,7/2/2015,canned beer,4
3130,18-02-2015,canned beer,4
4273,14-06-2015,other vegetables,4
4565,30-12-2015,canned beer,4
2504,14-08-2015,curd,2
4127,23-10-2015,butter,4
2690,1/4/2015,other vegetables,4
4129,22-09-2015,whole milk,2
4511,29-06-2015,beef,3
1602,4/8/2015,sausage,2
4369,1/2/2015,soda,5
1302,29-09-2015,fruit/vegetable juice,4
3326,30-04-2015,rolls/buns,3
2066,21-05-2015,pip fruit,1
3483,15-01-2015,frozen vegetables,4
2840,12/2/2015,beverages,2
1807,18-05-2015,hamburger meat,2
2067,12/8/2015,root vegetables,5
3783,17-02-2015,canned beer,4
2884,4/1/2015,frozen vegetables,4
2908,15-03-2015,canned beer,4
1330,10/7/2015,newspapers,1
2293,8/5/2015,rolls/buns,3
3718,20-05-2015,hamburger meat,2
4338,25-01-2015,pip fruit,1
3486,8/11/2015,canned beer,4
3635,4/9/2015,grapes,2
2857,18-02-2015,root vegetables,5
3684,13-08-2015,citrus fruit,4
3120,20-10-2015,cling film/bags,1
3872,19-03-2015,frankfurter,5
2777,7/4/2015,whole milk,2
2702,27-05-2015,pork,1
4796,29-06-2015,chicken,4
1564,23-10-2015,sausage,2
2740,2/7/2015,specialty bar,5
1833,13-04-2015,whipped/sour cream,4
1757,23-12-2015,root vegetables,5
2975,24-10-2015,rolls/buns,3
4032,10/8/2015,other vegetables,4
3979,16-09-2015,citrus fruit,4
3772,9/3/2015,whole milk,2
4523,28-10-2015,frankfurter,5
4004,19-04-2015,coffee,3
2936,8/6/2015,ham,1
2394,21-06-2015,canned beer,4
4616,16-08-2015,canned beer,4
2362,8/7/2015,canned beer,4
3593,3/11/2015,pip fruit,1
4389,27-08-2015,pork,1
3206,11/8/2015,soap,2
4601,4/1/2015,pip fruit,1
4382,13-11-2015,beef,3
2718,8/6/2015,sausage,2
4691,12/10/2015,frozen chicken,1
3735,28-11-2015,soda,5
3900,20-12-2015,tropical fruit,4
4959,30-06-2015,other vegetables,4
1815,30-08-2015,beef,3
2454,8/4/2015,meat,4
4778,15-01-2015,meat,4
2289,4/11/2015,bottled water,4
1734,13-07-2015,rolls/buns,3
4019,5/2/2015,pastry,2
4605,28-05-2015,pork,1
4864,14-11-2015,pip fruit,1
4205,22-02-2015,beef,3
1862,3/8/2015,beef,3
1846,19-07-2015,rolls/buns,3
2019,28-05-2015,citrus fruit,4
2042,19-11-2015,meat,4
1768,26-05-2015,beverages,2
3847,26-03-2015,beef,3
3557,20-07-2015,ham,1
3975,27-02-2015,hamburger meat,2
4198,18-03-2015,beef,3
2580,4/9/2015,beef,3
3474,25-08-2015,root vegetables,5
1678,14-11-2015,citrus fruit,4
4254,14-08-2015,yogurt,1
4704,21-08-2015,tropical fruit,4
3343,10/5/2015,frankfurter,5
3812,24-06-2015,beef,3
3093,13-03-2015,shopping bags,3
2170,18-06-2015,canned beer,4
4867,29-10-2015,rolls/buns,3
3899,23-03-2015,other vegetables,4
2941,3/10/2015,hamburger meat,2
1958,3/7/2015,hamburger meat,2
2760,8/8/2015,frankfurter,5
4413,3/8/2015,bottled beer,3
1737,15-05-2015,tropical fruit,4
4202,18-02-2015,soda,5
1065,13-11-2015,frankfurter,5
3819,28-06-2015,chicken,4
2854,8/2/2015,coffee,3
4387,16-09-2015,whole milk,2
4530,12/4/2015,margarine,3
4191,3/11/2015,tropical fruit,4
3102,4/12/2015,meat,4
1946,25-01-2015,cream cheese ,1
2156,15-05-2015,newspapers,1
1444,16-12-2015,rolls/buns,3
1699,14-05-2015,citrus fruit,4
4954,4/5/2015,whole milk,2
2207,8/4/2015,frankfurter,5
4826,28-01-2015,ham,1
2374,8/6/2015,frankfurter,5
1604,18-08-2015,sausage,2
4437,29-11-2015,domestic eggs,3
2319,10/5/2015,whole milk,2
3018,27-06-2015,rolls/buns,3
1195,28-09-2015,whole milk,2
1768,4/9/2015,sausage,2
3017,28-09-2015,curd,2
3384,29-11-2015,bottled water,4
1918,30-01-2015,beef,3
2524,17-10-2015,frankfurter,5
2798,17-06-2015,chicken,4
2096,25-01-2015,sausage,2
1489,13-03-2015,pork,1
1431,20-07-2015,yogurt,1
2747,5/7/2015,whole milk,2
3054,22-03-2015,frankfurter,5
2691,9/10/2015,beef,3
1752,19-04-2015,pip fruit,1
3027,15-09-2015,sausage,2
4452,17-06-2015,pastry,2
4129,13-08-2015,chicken,4
3523,9/11/2015,root vegetables,5
2128,11/2/2015,whole milk,2
4867,3/2/2015,detergent,2
4762,30-10-2015,rolls/buns,3
1632,29-05-2015,house keeping products,1
4018,17-11-2015,yogurt,1
1722,13-07-2015,tropical fruit,4
1438,19-10-2015,tropical fruit,4
3958,27-10-2015,curd,2
3292,13-09-2015,beef,3
2861,23-02-2015,whole milk,2
1757,24-02-2015,pork,1
1509,30-12-2015,other vegetables,4
2364,11/5/2015,rolls/buns,3
3084,26-10-2015,frankfurter,5
1850,17-02-2015,yogurt,1
1949,17-03-2015,whole milk,2
4740,2/10/2015,bottled water,4
1072,23-10-2015,frankfurter,5
4196,9/7/2015,rolls/buns,3
4814,13-09-2015,whole milk,2
1514,28-02-2015,rolls/buns,3
4584,25-10-2015,chicken,4
2751,3/2/2015,tropical fruit,4
4155,24-09-2015,sausage,2
4670,11/10/2015,sausage,2
4566,27-07-2015,frankfurter,5
2371,30-08-2015,UHT-milk,2
3442,14-11-2015,rolls/buns,3
3090,27-09-2015,canned beer,4
1457,9/1/2015,yogurt,1
4952,8/4/2015,whipped/sour cream,4
3165,11/1/2015,rolls/buns,3
2608,19-09-2015,rolls/buns,3
2040,7/10/2015,beverages,2
1327,9/8/2015,rolls/buns,3
3363,7/1/2015,rolls/buns,3
1731,9/9/2015,bottled beer,3
2760,2/8/2015,citrus fruit,4
3120,14-01-2015,bottled water,4
1332,30-04-2015,pastry,2
4530,12/9/2015,domestic eggs,3
3145,23-02-2015,beef,3
1099,13-08-2015,spread cheese,2
3188,6/12/2015,tropical fruit,4
3748,13-10-2015,packaged fruit/vegetables,1
4655,31-03-2015,whole milk,2
1827,1/5/2015,meat,4
2485,17-02-2015,onions,1
4683,15-01-2015,frankfurter,5
4358,6/11/2015,beef,3
1931,9/10/2015,beef,3
2490,18-12-2015,sausage,2
4842,8/12/2015,chicken,4
4616,1/1/2015,canned beer,4
2810,22-09-2015,sausage,2
2785,18-10-2015,tropical fruit,4
3591,20-07-2015,frankfurter,5
3896,10/9/2015,sausage,2
3842,1/7/2015,beef,3
2648,10/7/2015,tropical fruit,4
4688,2/10/2015,yogurt,1
3511,26-08-2015,frankfurter,5
3084,4/9/2015,bottled beer,3
3810,7/5/2015,grapes,2
4348,26-02-2015,beverages,2
3584,10/3/2015,curd,2
2620,11/6/2015,ice cream,3
2716,18-01-2015,sausage,2
3797,10/8/2015,other vegetables,4
2976,2/6/2015,dessert,2
2762,7/11/2015,decalcifier,1
3752,25-04-2015,canned beer,4
1659,30-11-2015,coffee,3
4109,8/2/2015,berries,5
1542,7/8/2015,pork,1
2068,7/6/2015,frankfurter,5
4509,14-06-2015,pork,1
4646,14-06-2015,frankfurter,5
2122,7/4/2015,frozen dessert,3
2730,15-06-2015,chicken,4
1800,31-07-2015,vinegar,1
1456,18-09-2015,rolls/buns,3
1138,2/9/2015,whole milk,2
4104,12/6/2015,pork,1
4985,28-02-2015,rolls/buns,3
3181,13-12-2015,grapes,2
3178,21-10-2015,frankfurter,5
1688,10/11/2015,finished products,3
1488,28-11-2015,onions,1
4975,8/5/2015,tropical fruit,4
4697,9/1/2015,other vegetables,4
4742,11/1/2015,ham,1
2640,22-04-2015,other vegetables,4
2548,25-12-2015,curd,2
2825,29-12-2015,sausage,2
2592,4/7/2015,canned beer,4
3622,28-12-2015,ham,1
4852,21-08-2015,packaged fruit/vegetables,1
1839,3/9/2015,meat,4
2413,4/4/2015,whole milk,2
2982,14-06-2015,canned beer,4
1981,31-10-2015,chicken,4
4440,21-09-2015,rolls/buns,3
3497,24-11-2015,pet care,2
3668,18-12-2015,root vegetables,5
4460,28-05-2015,pastry,2
1335,16-01-2015,frankfurter,5
4303,7/12/2015,chicken,4
3508,28-02-2015,frozen dessert,3
1959,19-03-2015,citrus fruit,4
3856,6/3/2015,sausage,2
3141,29-07-2015,root vegetables,5
4640,25-09-2015,root vegetables,5
4851,25-05-2015,bottled beer,3
3306,22-09-2015,frankfurter,5
2193,8/4/2015,root vegetables,5
1156,13-09-2015,berries,5
4596,8/4/2015,hamburger meat,2
1245,8/10/2015,tropical fruit,4
1515,5/7/2015,frankfurter,5
2564,14-07-2015,frankfurter,5
4527,18-10-2015,soda,5
2487,9/7/2015,ice cream,3
3420,27-02-2015,beef,3
4442,28-11-2015,whole milk,2
3164,30-04-2015,pork,1
3601,1/4/2015,whole milk,2
